comment	rate
Let me first state that I am a McConaughey fan ever since I saw him in  "A Time to Kill".  What woman could keep from falling into those dimples or swimming in those eyes. He is darn cute.	2.0 out of 5 stars
Don't bother. Just blew money to read this. What a waste .  I love matthew mcconaughey but this was a rip off.	2.0 out of 5 stars
Matthew is so much about himself it detracts hugely from a potentially excellent book. Did not go into some dark corners vaguely hinted at that could have added depth. Did not develop others in his life. Only all the wonderful accomplishments of Matthew. It all came just too easy. Matt....read “A pale faced lie” for some perspective on true accomplishment. Maybe some insight on what to do with the remainder of your life. GIVE BACK!	3.0 out of 5 stars
WHY ? - Is the dust jacket 1.5" smaller than the book ????? - As a book collector, the dust jacket is very important !!! - Will the publisher be providing the correct size dust jacket to people who purchased the book....???	1.0 out of 5 stars
2.5 stars, I should have known better than to go in with high hopes. A few great stories but also a lot of rambling. Sometimes it felt like Hansel from Zoolander talking about doing ecstasy with tigers floating down the river in South America. Weird. And the bumper stickers... ugh. I’m sure it’s a good audiobook though.	2.0 out of 5 stars
Nothing but pages of narcissistic ramblings...	1.0 out of 5 stars
Let me start by saying that Matthew Mcconaughey is my favorite actor.  Having said that, this is by far the worst book I have ever read in a life in which I have read thousands of books.  It is filled with the most banal, worn-out aphorisms and trivialities, and stupid nonsense.  Those "famous people" who provided bookjacket reviews must either be close friends of the author, want to be close friends, or just didn't read this terrible book.	1.0 out of 5 stars
This man wins at life, and it radiates throughout this books.	5.0 out of 5 stars
Greenlights is a book that I wanted to savor, but instead, I finished in a day...because it was so good I couldn't put it down. MM tells stories that are at once relatable yet deeply remarkable. He's lived an interesting life and a privileged one, though he's also struggled. The way he writes, I often found myself saying, you too? His style is folksy/salt-of-the-earth, and there's a lot of wisdom within the pages. I loved this book, and after reading it, I have a great deal of respect for the author.	5.0 out of 5 stars
McConaughey is an amazing actor, but after reading Greenlights, which I finished in two sittings because it was so good, I think his storytelling ability might be the best thing he has going for him. He is one of those people who just knows how to live an interesting life. One of those people you would stay up until 6AM listening to tell you stories and sharing ideas and thoughts. One of those people everyone else just looks at and says, man, that guy knows how to LIVE. In Greenlights, McConaughey shares all of his insights and wisdom into how to live one of those lives. He can build an amazing page-turning story and interweave lessons to live your life by right into it.	5.0 out of 5 stars
This is an amazingly honest book written by a man who obviously has the self-confidence to not be too worried about what people think of him because he knows who he is.  Sure, there are a few things I was not thrilled to learn but you gotta give the man credit for being so forthright.  I read the book over the course of 24 hours.  It did not disappoint.	5.0 out of 5 stars
This book brought me discernment, discipline, many joyful laughs, and my mindset to a changing point. Matthew conveys his values and themes in ways everyone can understand, and most importantly within thorough examples. Do yourself the favor and give this a read. It's worth your time. Literature like this really does make the world a better place, and has the tendency to bring us together as human beings.	5.0 out of 5 stars
Entertaining and funny. This book is probably exactly what you would expect- it is told in McConaughey's cool, laid-back style and is filled with interesting stories and anecdotes that will make you laugh out loud. He takes you through his life, highlighting the red, yellow, and green lights. He looks back on his past successes and failures and considers how everything led to where he is today. He emphasizes the importance of values and continually trying to improve in this life. The book is interspersed with his favorite bumper stickers and poetry that he has written along the way, a lot of it portraying his philosophic musings.	5.0 out of 5 stars
If you can handle a whole bunch of truth, pick up this book. It's raw and kind of scary. You'll get to see pieces of Matthew that you've never seen before.	4.0 out of 5 stars
I loved the way Matthew wrote this book, using his journal and following him as he navigated his life journey.  It wasn't what I expected but so much more.  I laughed out loud a number of times, shed a few tears, was surprised often by how far he went to find out who he was.  His commitment to wait once he decided the kind of people he wanted to represent as an actor and his wife's support was inspiring.  The people he met a !ong the way were so diverse and interesting.  His acknowledgement at the end of the book  was such a tribute to those who made an impact on his life.  I was deeply affected by his love of family and God. This book gave me introspective in my own life.  I believe this is a must read book for anyone and each person will take away something different.  This was an exceptional book.  Thank you for writing it.	5.0 out of 5 stars
I liked the book, and the man. Matthew grew up in a southern, red neck, one may call white-trash, family, but he learned the right lessons, made good choices, worked hard and became a successful and happy man. All of it while searching for meaning of life and happiness. The memoir is anecdotal life lessons and the folk philosophy Matthew developed. He is an adventurous man who strives to learn. This book follows unusual format and writing style. That didn't bother me.	4.0 out of 5 stars
Arrived in perfect shape. 43 pages in and the only reason I am putting it down is because I need to go to sleep! I can't wait to pick up this book again tomorrow! So far it has been everything I have expected!	5.0 out of 5 stars
Book received with cover jacket ripped	1.0 out of 5 stars
I thought the book was ok,  the formatting, thought was terrible.  This is the first book that I have not been able to change text font size.  Font was very small and hard to read.  The inserts were impossible to read most of he time, and now for a new twist, it seems you cannot exit the kindle book until a review is left.	1.0 out of 5 stars
I’ve read book by actors/actresses but they were not great.  I was hesitant on this but happy I bought it and read. It’s similar to the secret, but one huge difference.  The secret May tell stories but it’s an educational fashion.  This book, it his life and his experiences and the choices he made to not limit himself.  You want to feel bad for him with his childhood, but you feel the pride in him because of the lessons he learned to be who he is.  Reading green lights gave me the perspective that the book the secret tries to teach but more reflective and in depth.  It made me open my eyes to what I already knew just didn’t understand the how.  Until now and I get it.  Great book!	5.0 out of 5 stars
Listening to Matthew McConaughey is like sitting in a small-town bar enjoying a beer with an old high school buddy while John Mellencamp strums his guitar through the speakers—familiar, real, and raw.	5.0 out of 5 stars
This is an eminently readable autobiography-to-date.  Filled with illustrations, including diary entries, poems, lists, and general reflections on life, the book is characterized by honesty, vivid details and philosophic reflection.  It is the kind of book that fans would wish all stars would write (but precious few could).  The most obvious thematic move is the distance between MM's life and the stereotypical life of the Hollywood actor.  Taking a different route becomes a journey to a real route and the trip is never dull.	5.0 out of 5 stars
I don't have power but I  have a wonderful book on my phone to read.  You should read it too.  Stopped to read parts to my husband and grandson.  Stopped for awhile to step out on the patio and video the rain blowing sideways and again when the eye of the storm passed over us.  Like this book.  Like a life well lived with storms and calm, but Matthew keeps on "livin" it.  Good on him.  And I'll take some inspiration from him and try to do more livin than living.	5.0 out of 5 stars
Let's face it -- Matthew McConnaughey is an outlier star. He's not a Hollywood type, and does not play that game. He marches to the beat of his own drummer.	5.0 out of 5 stars
What a well written book! I was interested in reading this because it had good reviews (And because McConaughey is a fellow Texan). I was not expecting this but was pleasantly surprised.	5.0 out of 5 stars
I read this thing wicked fast, it is a book about situations in his life that made him who he is today.  By sharing these events, you reflect back on your past to see where the events happened that shaped you and gave you opportunity.  Definitely worth the time to read it and learn a little more about yourself, gain some courage to take advantage of situations as the present themselves and just keep livin (without the g)!	5.0 out of 5 stars
I think that McConaughey is one of our great talents and reading his account of his life up to now was quite entertaining, educating, and exciting to see what a real down to earth man from Texas with the right upbringing could achieve.  This is a book worth reading again on a regular basis for inspiration of what can be achieved at anytime in one's life with faith, integrity, and a li8ttle grit.	5.0 out of 5 stars
I wasn’t sure what to expect when I picked up a copy of Greenlights. Was it going to be a traditional memoir? Life lessons and wisdom that veered into self help? McConaughey philosophy? Wild, self-indulgent, crazy stories? What I’m finding is that it’s all of these and more. This book, at it’s core, is a love letter to life. ⠀	4.0 out of 5 stars
I like MM as an actor but clearly his “writing” style is not typical of most authors.  I had so many instances (while reading this book) of “why did he include that?”.....it was not a typical memoir as I had hoped.  I don’t think, based on this book, I would ever read another one of his offerings.  I am glad so many people seemed to enjoy it, I was not one of them.	1.0 out of 5 stars
What kind of cheap hardcover book cover is this I’m sending it back just ridiculous	1.0 out of 5 stars
Just now received. Only part way and am loving it... bold yet charming, revealing and inspiring. I realize I need to review my life notes if I can gather..may even re-learn from them.	5.0 out of 5 stars
Of the written or musical remedies that would allow any of us to experience laughter, reflection, and ultimately joy in a challenging year, Greenlights is certainly one. Take it literally at face value, as a series of great stories that strung together comprise the midpoint of one’s life, or pause intermittently to consider the cornucopia of messages about choices made as a result of interpreting how life happens for-, not to-, any of us, there’s little way I see anyone not enjoying this gift of a memoir. Thank you Matt. Keep journaling. Keep reaching. You’re not remotely close to being done giving. Cheers.	5.0 out of 5 stars
This book will take you on a series of adventures but its most gripping focus is on the internal journey that we all take throughout our lives. This was written by someone who looked deeply at their own life, goals, and path and audited it at every intersection. We can all laugh at the ridiculous Hollywood stories, the family antics, and the travel logs but more importantly, we can all think deeper about the art of livin because this book exists. I’m glad I read it, and I’m already looking forward to rereading it.	5.0 out of 5 stars
Matthew McConaughey tells you everything about his life. It’s a wonderful tale of success and happiness, but the reality is there as well. In reading about Matthew, you are forced to think about yourself and the choices you’ve made.	5.0 out of 5 stars
Greenlight	5.0 out of 5 stars
The book was an interesting story about a talented and intelligent actor's life.  It was entertaining but not relatable.  The pitched philosophy of greenlights and how to catch more of them wasn't apparent.  I expected more than an autobiography.  He is a good writer however and this is a candid telling of his story.	4.0 out of 5 stars
Hey I love Matthew McConaughey as an actor. I don't know him personally but have seen interviews with him and he seems like a cool guy to sit down and have a beer with. That being said, I bought this book new for cheap on Amazon as I didn't want to pay $30 for it (and I'm glad I didn't). I am halfway through the book and I am done. Sure McConaughey is an interesting cat and he does have a few stories typical of anyone's life story. Except his story is NOT typical of anyone's life story. It's hard to relate to someone who, at least half-way through the book got about every break ("GREENLIGHT!") and then some. Good for him but the reality is that if he had grown up, say of a different ethnic background, I sincerely doubt he would be where he is today. The book is made up of stories of his upbringing in Texas, the good student, his HIgh School's "Most Handsome" guy, his travels to Australia, motorcyling across Europe and then every Greenlight to where he is today. Like I said, kudos to him, but "ho-hum." I can write my life story and include some of the experiences and insights I have survived with,and it is a helluva lot more interesting than this book, but no one would give a bleep. I just didn't get mostly GREENLIGHTS (mostly RED LIGHTS) but most of us don't and we are thankful when we do get a break. But hey that is REAL LIFE. Anyway I wish Matthew McConaughey all the best (like he needs it) but ths book is highly OVER-rated and I am pretty disappointed that I can't force myself to read the entire book. Anyway this is my opinion. I still think he is a marvelous actor. Thanks! A fan.	3.0 out of 5 stars
This auto-biography by Matthew McConaughey is really amazing. I had a hard time putting it down. I am thinking of giving it as a Christmas gift to others. What an amazing, laid-back guy he is with faith in God and admirable values! It's refreshing to know someone in his business has values.	5.0 out of 5 stars
Beautifully produced book, with lots of photographs and references to the author's journals. But it just was not as interesting. He is a really decent person and while that is good to know, it is not as interesting.... Also the book is a bit hard to follow due to the absence of a narrative. Good vibes though...	2.0 out of 5 stars
Loved this book! As I was reading it I found myself reading it in McConaughey’s voice. Certainly a candid book about his life, sometimes a bit TMI, but that’s just McConaughey and I should have expected it. I enjoyed the unfiltered stories about his life. I’ve lived in the parts of Texas he has and could easily relate.	4.0 out of 5 stars
I bought this for a gift.	1.0 out of 5 stars
Highly recommend. It is a great book period. Only positive vibes welcome. Thank you MM for putting a book together. Much needed during present times.	5.0 out of 5 stars
Matthew is obviously an extremely talented man in acting, poetry writing, and insightful/humorous writing.  I gave this book 4 stars as I have only five starred 2 books in my entire life ("The Great Santini" and "To Kill A Mockingbird.")  Funny and self deprocating but holding no glamorous punches.  If you are looking for Hollywood gossip, you won't find it here.  This is HIS journey-not a tell-all on movie making.	4.0 out of 5 stars
I'd like to recommend something for the publisher.  Please be careful about paragraphs that are intended to represent notes from a journal.  Many of those sections in Greenlights were unreadable for me.  This is often true in many books.	4.0 out of 5 stars
I enjoyed reading every adventure, every thought, and pleasure of an actor I've seen grow up on the big screen. Romantic comedies, laughs and fun. My real admiration was Matthews great performance in The Detectives and MUD. He just keeps getting better. Why? Because he's a decent, caring, loving, honest human being. Writing is his natural talent, I hope to see more as his story grows.	5.0 out of 5 stars
This is one of the most interesting and uplifting books I have read in a long time. What an insightful beautiful real story of life. I could relate totally with everything Matthew shared. It is so real that most people could totally relate to it, even though we are not celebrities. Thank you Matthew for sharing your most intimate thoughts with us. This is the perfect time for this book to come out. It has given me hope in these unsure times and inspired me to be more aware, more alive and know myself better.	5.0 out of 5 stars
Interesting work but a little shallow new age hipster vibe. Still have to love naked bongo banging! Over all a solid B grade and I would recommend it.	3.0 out of 5 stars
Matthew McConaughey nailed this book. He pours his heart out with old-school lessons and stories that could be instilled into today's generation to help them navigate. We need to get back to being responsible for our actions and hold our virtue at a high level. It upsets me to see the haters or the radicals give crapy reviews and one star. The bad reviews are from people that think we should all conform to their way of thinking and their only goal is to dismantle this Country and the nuclear family. Thank you Matthew for telling your TRUTHS and stories with your honest and raw personality. I commend you for telling your story the way you wanted us to hear it. I also love your honest and candid attitude by sticking to your beliefs and life lessons. Keep it up, brother. Thanks again, Chris J. Hamilton	5.0 out of 5 stars
I really enjoyed this book. What is there not to like about an autobiography that is funny, yet tender, motivating, yet humbling. The story of the life of an American original and the best part is there is more of that life yet to come and experiences and stories yet to be told. I just hope Matthew has plans for more of the written word to share with us.	5.0 out of 5 stars
Honestly, I thought this book would focus more on his career, but it focuses more on life experiences and I like that about it. He seems like a pretty cool, down to earth, “Here I am, warts and all, take me or leave me,” kind of guy. Maybe the ONE person in the film industry who might be interesting to sit down and have a beer with. MAYBE!	5.0 out of 5 stars
Excellent book. He spoke truly from the heart you saw the good bad and ugly. It has humor and the serious. I’ve always been a fan now I’m a bigger fan :red_heart_selector:	5.0 out of 5 stars
Haven't been much of a reader since high school (decades ago) with books like these, but I'm picking up reading again. Had tons of fun reading each chapter of Mr. McConaughey's life. The part with his brother and father in on the pissing contest to win the dirt bike was priceless. McConaughey does a great job of conveying his feelings at these particular times in his life. Many pleasant surprises with the diary notes sprinkled throughout the book. Well done Mr. McConaughey. Thank you for sharing your life with us. "Begin with the end in mind".	4.0 out of 5 stars
McConaughey’s memoir is a must read. This is not the actor you know, he’s someone way cooler. Unlike most bios which cram the banal and celebrity auto-bios that are self-obsessed, this book is full captivating antidotes, painfully honest introspection, philosophy and words to live by taken from a lifetime of his personal journals. His childhood was full of love and joy, but also quite abusive, yet he didn’t take it that way. And those stories are some of the most entertaining! Check it out, it’s an awesome book.	5.0 out of 5 stars
Interesting book, quick read.	3.0 out of 5 stars
I listened to the audiobook of this and the. bought the hardcover for my mom for Christmas because I liked it so much. The book has its own charm about it audiobook didn’t have (though listening to it from Matthews own voice also had its own charm I’m sure the physical book didn’t have), it includes photos and hand written blurbs he just describes and reads allowed in the audio.	5.0 out of 5 stars
I always knew from what I’ve read and is now confirmed, that Matt was and us a free spirit. In his biography he throws it all out there and by that he pulls us in . Should we all be able to chase our dreams and listen to our inner self as it leads us to where we need to be in this life .	5.0 out of 5 stars
I loved this book.  I downloaded the sample and I was hooked.  Read it in 2 days!  Couldn't stop.  I adore him and love the fact that he shares so openly.  One thing ...i am from Altoona PA.  It's not that bad !  Lol thankyou for sharing your life and I will continue as a big fan!  N. A. From ALTOONA PA!!	5.0 out of 5 stars
I was not much of a fan of this person until season one of True Detective and Dallas Buyer's Club woke me up to his abilities. He is often portrayed in a negative way by the media, but his story explains that view. This guy won every top award an actor can in the same single year. He has an interesting background and I loved reading the unusual format. He sort of free-associates and creates poems that link to his life stage throughout the book. The "Green Light" concept is cool and makes sense if you read it.	5.0 out of 5 stars
I loved reading Matthew's book, but felt it could've gone further.  Hes a movie actor to us laymen (women)  so I missed not reading about his experiences for each movie., of which I've seen them all.  Funny antidotes, stories of co actors.  A little more about the loves in his life.  He is one hellova philosopher,  can really get deep inside and share his feelings in a way I truly, have never read before.  I recommend highly this ride with him.	4.0 out of 5 stars
I am sure mr McConaughey probably deserves a higher rating however after riding shotgun on this literary journey !  I believe he understands the true meaning of... nothing on earth is PERFECT,  thank you for the ride along and may you continue to have greenlights.	4.0 out of 5 stars
